image,name,address,city,state,zip,lat,lng, type,cam
Pickleball Playground,2810 Ball Camp Byington Rd,Knoxville,TN,37931,35.96597,-84.11957,Business,https://livepickleballcourts.com/facilities/pickleball-playground
Pavilion Of Pickleball,685 Racquet Club Way,Knoxville,TN,37923,35.93206,-84.09162,Business,https://livepickleballcourts.com/facilities/pavilion-of-pickleball
E-Town Pickleball,175 Hudson Dr,Elizabethton,TN,37643,36.34463,-82.24353,Business,https://livepickleballcourts.com/facilities/e-town-pickleball
Pickleball 901,4610 Merchants Park Circle Ste 501,Collierville,TN,38017,35.02304,-89.71917,Business,https://livepickleballcourts.com/facilities/pickleball-901
Bend Pickleball Club,3750 NE Purcell Blvd,Bend,OR,97702,44.09127,-121.27339,Business,https://livepickleballcourts.com/facilities/bend-pickleball-club
Pickleball Oasis,911 4 Hills Rd SE,Albuquerque,NM,87123,35.12868,-106.57913,Business,https://livepickleballcourts.com/facilities/pickleball-oasis
Magic City Pickleball,1651 Independence Ct Ste 111,Homewood,AL,35209,33.46176,-86.77839,Business,https://livepickleballcourts.com/facilities/magic-city-pickleball
Litchfield Pickleball,97 Hawthorn Dr,Pawleys Island,SC,29585,33.47288,-79.10832,Business,https://livepickleballcourts.com/facilities/litchfield-pickleball
Diadem Pickleball Tulsa,2795 E 91st St,Tulsa,OK,74137,36.03202,-95.92151,Business,https://livepickleballcourts.com/facilities/diadem-pickleball-tulsa
